2013-12-03T17:52:26.140-05:00: Stable Library
2013-12-03T17:52:26.156-05:00: =========================================
2013-12-03T17:52:26.156-05:00: Native lib Version = RXTX-2.1-7
2013-12-03T17:52:26.156-05:00: Java lib Version   = RXTX-2.1-7
2013-12-03T17:52:37.828-05:00: 0d WAIT 
2013-12-03T17:52:37.828-05:00: 0a WAIT 
2013-12-03T17:52:37.828-05:00: 
4b WAIT 
2013-12-03T17:52:37.828-05:00: K41 WAIT 
2013-12-03T17:52:37.828-05:00: A4e WAIT 
2013-12-03T17:52:37.828-05:00: N54 WAIT 
2013-12-03T17:52:37.828-05:00: T52 WAIT 
2013-12-03T17:52:37.828-05:00: R4f WAIT 
2013-12-03T17:52:37.843-05:00: O4e WAIT 
2013-12-03T17:52:37.843-05:00: N49 WAIT 
2013-12-03T17:52:37.843-05:00: I43 WAIT 
2013-12-03T17:52:37.843-05:00: C53 WAIT 
2013-12-03T17:52:37.843-05:00: S20 WAIT 
2013-12-03T17:52:37.843-05:00:  41 WAIT 
2013-12-03T17:52:37.843-05:00: A4c WAIT 
2013-12-03T17:52:37.843-05:00: L4c WAIT 
2013-12-03T17:52:37.843-05:00: L20 WAIT 
2013-12-03T17:52:37.843-05:00:  4d WAIT 
2013-12-03T17:52:37.843-05:00: M4f WAIT 
2013-12-03T17:52:37.843-05:00: O44 WAIT 
2013-12-03T17:52:37.843-05:00: D45 WAIT 
2013-12-03T17:52:37.843-05:00: E20 WAIT 
2013-12-03T17:52:37.843-05:00:  43 WAIT 
2013-12-03T17:52:37.859-05:00: C4f WAIT 
2013-12-03T17:52:37.859-05:00: O4d WAIT 
2013-12-03T17:52:37.859-05:00: M4d WAIT 
2013-12-03T17:52:37.859-05:00: M55 WAIT 
2013-12-03T17:52:37.859-05:00: U4e WAIT 
2013-12-03T17:52:37.859-05:00: N49 WAIT 
2013-12-03T17:52:37.859-05:00: I43 WAIT 
2013-12-03T17:52:37.859-05:00: C41 WAIT 
2013-12-03T17:52:37.859-05:00: A54 WAIT 
2013-12-03T17:52:37.859-05:00: T4f WAIT 
2013-12-03T17:52:37.859-05:00: O52 WAIT 
2013-12-03T17:52:37.859-05:00: R20 WAIT 
2013-12-03T17:52:37.859-05:00:  4b WAIT 
2013-12-03T17:52:37.859-05:00: K41 WAIT 
2013-12-03T17:52:37.859-05:00: A4d WAIT 
2013-12-03T17:52:37.859-05:00: M2d WAIT 
2013-12-03T17:52:37.859-05:00: -58 WAIT 
2013-12-03T17:52:37.875-05:00: X4c WAIT 
2013-12-03T17:52:37.875-05:00: L20 WAIT 
2013-12-03T17:52:37.875-05:00:  56 WAIT 
2013-12-03T17:52:37.875-05:00: V45 WAIT 
2013-12-03T17:52:37.875-05:00: E52 WAIT 
2013-12-03T17:52:37.875-05:00: R53 WAIT 
2013-12-03T17:52:37.875-05:00: S49 WAIT 
2013-12-03T17:52:37.875-05:00: I4f WAIT 
2013-12-03T17:52:37.875-05:00: O4e WAIT 
2013-12-03T17:52:37.875-05:00: N20 WAIT 
2013-12-03T17:52:37.875-05:00:  31 WAIT 
2013-12-03T17:52:37.875-05:00: 12e WAIT 
2013-12-03T17:52:37.875-05:00: .30 WAIT 
2013-12-03T17:52:37.875-05:00: 037 WAIT 
2013-12-03T17:52:37.875-05:00: 730 WAIT 
2013-12-03T17:52:37.875-05:00: 035 WAIT 
2013-12-03T17:52:37.875-05:00: 530 WAIT 
2013-12-03T17:52:37.890-05:00: 00d WAIT 
2013-12-03T17:52:37.890-05:00: 0a WAIT 
2013-12-03T17:52:37.890-05:00: 
28 WAIT 
2013-12-03T17:52:37.890-05:00: (43 WAIT 
2013-12-03T17:52:37.890-05:00: C29 WAIT 
2013-12-03T17:52:37.890-05:00: )20 WAIT 
2013-12-03T17:52:37.890-05:00:  43 WAIT 
2013-12-03T17:52:37.890-05:00: C4f WAIT 
2013-12-03T17:52:37.890-05:00: O50 WAIT 
2013-12-03T17:52:37.890-05:00: P59 WAIT 
2013-12-03T17:52:37.890-05:00: Y52 WAIT 
2013-12-03T17:52:37.890-05:00: R49 WAIT 
2013-12-03T17:52:37.890-05:00: I47 WAIT 
2013-12-03T17:52:37.890-05:00: G48 WAIT 
2013-12-03T17:52:37.890-05:00: H54 WAIT 
2013-12-03T17:52:37.890-05:00: T20 WAIT 
2013-12-03T17:52:37.890-05:00:  32 WAIT 
2013-12-03T17:52:37.906-05:00: 230 WAIT 
2013-12-03T17:52:37.906-05:00: 030 WAIT 
2013-12-03T17:52:37.906-05:00: 036 WAIT 
2013-12-03T17:52:37.906-05:00: 620 WAIT 
2013-12-03T17:52:37.906-05:00:  42 WAIT 
2013-12-03T17:52:37.906-05:00: B59 WAIT 
2013-12-03T17:52:37.906-05:00: Y20 WAIT 
2013-12-03T17:52:37.906-05:00:  4b WAIT 
2013-12-03T17:52:37.906-05:00: K41 WAIT 
2013-12-03T17:52:37.906-05:00: A4e WAIT 
2013-12-03T17:52:37.906-05:00: N54 WAIT 
2013-12-03T17:52:37.906-05:00: T52 WAIT 
2013-12-03T17:52:37.906-05:00: R4f WAIT 
2013-12-03T17:52:37.906-05:00: O4e WAIT 
2013-12-03T17:52:37.906-05:00: N49 WAIT 
2013-12-03T17:52:37.906-05:00: I43 WAIT 
2013-12-03T17:52:37.906-05:00: C53 WAIT 
2013-12-03T17:52:37.906-05:00: S20 WAIT 
2013-12-03T17:52:37.922-05:00:  49 WAIT 
2013-12-03T17:52:37.922-05:00: I4e WAIT 
2013-12-03T17:52:37.922-05:00: N43 WAIT 
2013-12-03T17:52:37.922-05:00: C2e WAIT 
2013-12-03T17:52:37.922-05:00: .20 WAIT 
2013-12-03T17:52:37.922-05:00:  20 WAIT 
2013-12-03T17:52:37.922-05:00:  41 WAIT 
2013-12-03T17:52:37.922-05:00: A4c WAIT 
2013-12-03T17:52:37.922-05:00: L4c WAIT 
2013-12-03T17:52:37.922-05:00: L20 WAIT 
2013-12-03T17:52:37.922-05:00:  52 WAIT 
2013-12-03T17:52:37.922-05:00: R49 WAIT 
2013-12-03T17:52:37.922-05:00: I47 WAIT 
2013-12-03T17:52:37.922-05:00: G48 WAIT 
2013-12-03T17:52:37.922-05:00: H54 WAIT 
2013-12-03T17:52:37.922-05:00: T53 WAIT 
2013-12-03T17:52:37.922-05:00: S20 WAIT 
2013-12-03T17:52:37.922-05:00:  52 WAIT 
2013-12-03T17:52:37.922-05:00: R45 WAIT 
2013-12-03T17:52:37.937-05:00: E53 WAIT 
2013-12-03T17:52:37.937-05:00: S45 WAIT 
2013-12-03T17:52:37.937-05:00: E52 WAIT 
2013-12-03T17:52:37.937-05:00: R56 WAIT 
2013-12-03T17:52:37.937-05:00: V45 WAIT 
2013-12-03T17:52:37.937-05:00: E44 WAIT 
2013-12-03T17:52:37.937-05:00: D2e WAIT 
2013-12-03T17:52:37.937-05:00: .0d WAIT 
2013-12-03T17:52:37.937-05:00: 0a WAIT 
2013-12-03T17:52:37.937-05:00: 
44 WAIT 
2013-12-03T17:52:37.937-05:00: D55 WAIT 
2013-12-03T17:52:37.937-05:00: U50 WAIT 
2013-12-03T17:52:37.937-05:00: P4c WAIT 
2013-12-03T17:52:37.937-05:00: L49 WAIT 
2013-12-03T17:52:37.937-05:00: I43 WAIT 
2013-12-03T17:52:37.937-05:00: C41 WAIT 
2013-12-03T17:52:37.937-05:00: A54 WAIT 
2013-12-03T17:52:37.937-05:00: T49 WAIT 
2013-12-03T17:52:37.937-05:00: I4f WAIT 
2013-12-03T17:52:37.937-05:00: O4e WAIT 
2013-12-03T17:52:37.953-05:00: N20 WAIT 
2013-12-03T17:52:37.953-05:00:  50 WAIT 
2013-12-03T17:52:37.953-05:00: P52 WAIT 
2013-12-03T17:52:37.953-05:00: R4f WAIT 
2013-12-03T17:52:37.953-05:00: O48 WAIT 
2013-12-03T17:52:37.953-05:00: H49 WAIT 
2013-12-03T17:52:37.953-05:00: I42 WAIT 
2013-12-03T17:52:37.953-05:00: B49 WAIT 
2013-12-03T17:52:37.953-05:00: I54 WAIT 
2013-12-03T17:52:37.953-05:00: T45 WAIT 
2013-12-03T17:52:37.953-05:00: E44 WAIT 
2013-12-03T17:52:37.953-05:00: D20 WAIT 
2013-12-03T17:52:37.953-05:00:  57 WAIT 
2013-12-03T17:52:37.953-05:00: W49 WAIT 
2013-12-03T17:52:37.953-05:00: I54 WAIT 
2013-12-03T17:52:37.953-05:00: T48 WAIT 
2013-12-03T17:52:37.953-05:00: H4f WAIT 
2013-12-03T17:52:37.953-05:00: O55 WAIT 
2013-12-03T17:52:37.953-05:00: U54 WAIT 
2013-12-03T17:52:37.953-05:00: T20 WAIT 
2013-12-03T17:52:37.968-05:00:  50 WAIT 
2013-12-03T17:52:37.968-05:00: P45 WAIT 
2013-12-03T17:52:37.968-05:00: E52 WAIT 
2013-12-03T17:52:37.968-05:00: R4d WAIT 
2013-12-03T17:52:37.968-05:00: M49 WAIT 
2013-12-03T17:52:37.968-05:00: I53 WAIT 
2013-12-03T17:52:37.968-05:00: S53 WAIT 
2013-12-03T17:52:37.968-05:00: S49 WAIT 
2013-12-03T17:52:37.968-05:00: I4f WAIT 
2013-12-03T17:52:37.968-05:00: O4e WAIT 
2013-12-03T17:52:37.968-05:00: N20 WAIT 
2013-12-03T17:52:37.968-05:00:  4f WAIT 
2013-12-03T17:52:37.968-05:00: O46 WAIT 
2013-12-03T17:52:37.968-05:00: F20 WAIT 
2013-12-03T17:52:37.968-05:00:  4b WAIT 
2013-12-03T17:52:37.968-05:00: K41 WAIT 
2013-12-03T17:52:37.968-05:00: A4e WAIT 
2013-12-03T17:52:37.968-05:00: N54 WAIT 
2013-12-03T17:52:37.968-05:00: T52 WAIT 
2013-12-03T17:52:37.968-05:00: R4f WAIT 
2013-12-03T17:52:37.968-05:00: O4e WAIT 
2013-12-03T17:52:37.984-05:00: N49 WAIT 
2013-12-03T17:52:37.984-05:00: I43 WAIT 
2013-12-03T17:52:37.984-05:00: C53 WAIT 
2013-12-03T17:52:37.984-05:00: S2e WAIT 
2013-12-03T17:52:37.984-05:00: .0d WAIT 
2013-12-03T17:52:37.984-05:00: 0a WAIT 
2013-12-03T17:52:37.984-05:00: 
63 WAIT 
2013-12-03T17:52:37.984-05:00: c6d WAIT 
2013-12-03T17:52:37.984-05:00: m64 WAIT 
2013-12-03T17:52:37.984-05:00: d3a WAIT 
2013-12-03T17:52:37.984-05:00: :0d WAIT 
2013-12-03T17:52:39.187-05:00: 0a WAIT 
2013-12-03T17:52:39.187-05:00: 
3f WAIT 
2013-12-03T17:52:39.187-05:00: ?3f WAIT 
2013-12-03T17:52:39.187-05:00: ?3f WAIT 
2013-12-03T17:52:39.187-05:00: ?0d WAIT 
2013-12-03T17:52:39.187-05:00: 0a WAIT 
2013-12-03T17:52:39.187-05:00: 
0d WAIT 
2013-12-03T17:52:39.187-05:00: 0a WAIT 
2013-12-03T17:52:39.187-05:00: 
48 WAIT 
2013-12-03T17:52:39.187-05:00: H42 WAIT 
2013-12-03T17:52:39.203-05:00: B20 WAIT 
2013-12-03T17:52:39.203-05:00:  30 WAIT 
2013-12-03T17:52:39.203-05:00: 02f WAIT 
2013-12-03T17:52:39.203-05:00: /31 WAIT 
2013-12-03T17:52:39.203-05:00: 132 WAIT 
2013-12-03T17:52:39.203-05:00: 230 WAIT 
2013-12-03T17:52:39.203-05:00: 030 WAIT 
2013-12-03T17:52:39.203-05:00: 00d WAIT 
2013-12-03T17:52:39.203-05:00: 0a WAIT 
2013-12-03T17:52:39.203-05:00: 
58 WAIT 
2013-12-03T17:52:39.203-05:00: X4d WAIT 
2013-12-03T17:52:39.203-05:00: M49 WAIT 
2013-12-03T17:52:39.203-05:00: I54 WAIT 
2013-12-03T17:52:39.203-05:00: T4c WAIT 
2013-12-03T17:52:39.203-05:00: L56 WAIT 
2013-12-03T17:52:39.203-05:00: V4c WAIT 
2013-12-03T17:52:39.203-05:00: L20 WAIT 
2013-12-03T17:52:39.218-05:00:  34 WAIT 
2013-12-03T17:52:39.218-05:00: 430 WAIT 
2013-12-03T17:52:39.218-05:00: 02f WAIT 
2013-12-03T17:52:39.218-05:00: /32 WAIT 
2013-12-03T17:52:39.218-05:00: 235 WAIT 
2013-12-03T17:52:39.218-05:00: 50d WAIT 
2013-12-03T17:52:39.218-05:00: 0a WAIT 
2013-12-03T17:52:39.218-05:00: 
49 WAIT 
2013-12-03T17:52:39.218-05:00: I4e WAIT 
2013-12-03T17:52:39.218-05:00: N54 WAIT 
2013-12-03T17:52:39.218-05:00: T46 WAIT 
2013-12-03T17:52:39.218-05:00: F41 WAIT 
2013-12-03T17:52:39.218-05:00: A43 WAIT 
2013-12-03T17:52:39.218-05:00: C45 WAIT 
2013-12-03T17:52:39.234-05:00: E20 WAIT 
2013-12-03T17:52:39.234-05:00:  4b WAIT 
2013-12-03T17:52:39.234-05:00: K49 WAIT 
2013-12-03T17:52:39.234-05:00: I53 WAIT 
2013-12-03T17:52:39.234-05:00: S53 WAIT 
2013-12-03T17:52:39.234-05:00: S0d WAIT 
